GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-58-01;Verlagswesen, audiovisuelle Medien und Rundfunk;8,643;9,537;9,734;9,888;10,252;10,419;10,506;11,012;9,960;10,493;10,865;10,744;10,547;10,510;10,529;10,680;10,860;11,011;11,237;11,492;11,980;12,470;12,669;12,787;12,594;12,745;13,092;13,120;13,395;13,112;...;...
WZ08-58;Verlagswesen;5,949;6,591;6,683;6,782;6,980;7,033;7,044;7,219;5,874;6,154;6,371;6,295;6,065;6,048;6,063;6,194;6,326;6,422;6,293;6,521;6,776;7,002;7,105;6,989;6,757;6,842;6,960;6,938;6,813;6,475;...;...
WZ08-59-01;Audiovisuelle Medien und Rundfunk;2,694;2,946;3,051;3,106;3,272;3,386;3,462;3,793;4,086;4,339;4,494;4,449;4,482;4,462;4,466;4,486;4,534;4,589;4,944;4,971;5,204;5,468;5,564;5,798;5,837;5,903;6,132;6,182;6,582;6,637;...;...
WZ08-61;Telekommunikation;8,960;9,987;10,388;10,145;9,827;9,448;8,783;8,445;8,305;8,446;8,808;8,709;8,476;8,222;8,189;8,429;8,775;8,746;7,786;6,566;6,364;6,291;6,190;6,406;6,560;6,607;6,424;6,377;6,600;6,629;...;...
WZ08-62-01;IT- und Informationsdienstleister;5,070;5,916;6,561;7,089;7,802;8,423;8,871;10,417;12,838;15,936;18,251;19,039;19,267;19,762;20,486;21,504;23,055;25,096;25,727;26,695;28,723;31,163;32,732;35,602;38,096;41,342;44,952;49,787;55,971;59,176;...;...
WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;33,482;37,202;39,348;40,654;41,882;42,051;42,087;42,744;44,211;46,145;47,614;48,613;48,508;48,650;48,678;48,848;49,783;50,497;51,056;51,461;52,459;54,077;55,544;56,964;57,869;58,322;57,447;57,834;58,297;59,259;60,410;62,282
WZ08-64;Erbringung von Finanzdienstleistungen;23,030;25,525;26,974;27,972;29,231;29,499;29,656;30,023;30,797;31,902;32,760;32,913;32,481;32,360;32,349;32,483;33,081;33,363;33,401;33,334;33,969;34,879;35,667;36,634;36,976;36,888;36,613;36,192;35,875;35,863;...;...
WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;7,389;8,183;8,566;8,689;8,882;8,911;8,947;9,068;9,339;9,623;9,956;10,588;10,760;10,754;10,630;10,348;10,022;9,843;9,811;9,806;10,006;10,313;10,649;10,860;11,002;10,824;9,927;9,775;9,911;10,156;...;...
WZ08-66;Mit Finanz- u. Versicherungsdienstl. verb. Tätigk.;3,063;3,494;3,808;3,993;3,769;3,641;3,484;3,653;4,075;4,620;4,898;5,112;5,267;5,536;5,699;6,017;6,680;7,291;7,844;8,321;8,484;8,885;9,228;9,470;9,891;10,610;10,907;11,867;12,511;13,240;...;...
WZ08-L;Grundstücks- und Wohnungswesen;4,509;5,173;5,844;6,334;6,798;7,127;7,293;7,965;8,520;8,742;8,846;8,923;9,024;8,876;8,893;9,050;9,067;9,177;8,899;9,040;9,382;9,630;9,814;10,176;10,725;11,236;11,916;12,796;13,436;13,830;14,666;15,765
